epoch,accuracy,loss,val_accuracy,val_loss
0,0.37973982095718384,1.3238840103149414,0.42363113164901733,1.2821894884109497
1,0.6576252579689026,0.9743083119392395,0.6455331444740295,0.9705954790115356
2,0.7996125221252441,0.5731707215309143,0.6974063515663147,0.784013032913208
3,0.8499861359596252,0.41399094462394714,0.7146974205970764,0.7994880676269531
4,0.8796014189720154,0.328620582818985,0.6974063515663147,0.8320916891098022
5,0.9070025086402893,0.2681255042552948,0.6974063515663147,0.8773584961891174
6,0.9277608394622803,0.21953411400318146,0.7060518860816956,0.9195435047149658
7,0.9413229823112488,0.18248942494392395,0.6945244669914246,1.034356713294983
8,0.9496263265609741,0.15629225969314575,0.6772334575653076,1.073845624923706
9,0.9559922218322754,0.1416044533252716,0.6858789920806885,1.0942460298538208
10,0.9640188217163086,0.12209011614322662,0.6974063515663147,1.185707688331604
11,0.9665098190307617,0.11285330355167389,0.6829971075057983,1.2662327289581299
12,0.9659562706947327,0.1059570387005806,0.6743515729904175,1.2450577020645142
13,0.9712150692939758,0.09521713852882385,0.6714697480201721,1.3454041481018066
14,0.9717686176300049,0.0889868438243866,0.6570605039596558,1.3248651027679443
15,0.9725989699363708,0.08635014295578003,0.6714697480201721,1.3812729120254517
16,0.9767506122589111,0.07421083748340607,0.6858789920806885,1.4075469970703125
17,0.9745364189147949,0.08178422600030899,0.680115282535553,1.4042091369628906
18,0.9767506122589111,0.07395308464765549,0.6714697480201721,1.5171256065368652
19,0.9759202599525452,0.06894414871931076,0.6829971075057983,1.493672251701355
20,0.9773041605949402,0.06518986821174622,0.6772334575653076,1.5220599174499512
21,0.9748131632804871,0.07038109004497528,0.6772334575653076,1.5444587469100952
22,0.9792416095733643,0.06472984701395035,0.6599423885345459,1.5889707803726196
23,0.976473867893219,0.06505609303712845,0.6628242135047913,1.6053810119628906
24,0.9773041605949402,0.06212930008769035,0.6628242135047913,1.5618770122528076
